i,q,ask_current,ask_leading_cara,bid_current,bid_leading_cara
3.0,-16,3.495972195027929,3.572432659795308,-2.4736760903084933,-2.5511994546742685
3.0,-15,3.4711843925163084,3.548707756882083,-2.4473655134464227,-2.5252164581813297
3.0,-14,3.4448738156542373,3.5227247603891447,-2.419532162233902,-2.4969753681086773
3.0,-13,3.4170404644417167,3.494483670316492,-2.3901760366709315,-2.466476184456311
3.0,-12,3.3876843388787465,3.463984486664126,-2.3592971367575113,-2.4337189072242307
3.0,-11,3.3568054389653263,3.4312272094320457,-2.3268954624936415,-2.398703536412437
3.0,-10,3.3244037647014566,3.396211838620252,-2.292971013879322,-2.3614300720209296
3.0,-9,3.2904793160871364,3.3589383742287446,-2.257523790914552,-2.321898514049708
3.0,-8,3.2550320931223666,3.3194068162575228,-2.2205537935993327,-2.2801088624987726
3.0,-7,3.2180620958071477,3.2776171647065873,-2.1820610219336634,-2.2360611173681235
3.0,-6,3.1795693241414784,3.2335694195759386,-2.1420454759175445,-2.1897552786577608
3.0,-5,3.1395537781253595,3.187263580865576,-2.100507155550976,-2.1411913463676844
3.0,-4,3.0980154577587906,3.138699648575499,-2.0574460608339575,-2.0903693204978935
3.0,-3,3.054954363041772,3.0878776227057085,-2.012862191766489,-2.03728920104839
3.0,-2,3.010370493974304,3.0347975032562045,-1.966755548348571,-1.9819509880191715
3.0,-1,2.964263850556386,2.9794592902269863,-1.919126130580203,-1.9243546814102397
3.0,0,2.916634432788018,2.9218629836180545,-1.8699739384613854,-1.8645002812215943
3.0,1,2.8674822406692,2.862008583429409,-1.8192989719921178,-1.8023877874532348
3.0,2,2.816807274199933,2.799896089661049,-1.7671012311724006,-1.7380172001051615
3.0,3,2.7646095333802156,2.7355255023129765,-1.7133807160022336,-1.6713885191773745
3.0,4,2.7108890182100485,2.668896821385189,-1.6581374264816167,-1.6025017446698737
3.0,5,2.6556457286894317,2.6000100468776886,-1.6013713626105501,-1.531356876582659
3.0,6,2.5988796648183645,2.5288651787904737,-1.5430825243890336,-1.4579539149157306
3.0,7,2.540590826596848,2.4554622171235456,-1.4832709118170673,-1.3822928596690884
3.0,8,2.4807792140248823,2.3798011618769035,-1.4219365248946514,-1.3043737108427325
3.0,9,2.419444827102466,2.3018820130505473,-1.3590793636217855,-1.2241964684366626
3.0,10,2.3565876658296006,2.2217047706444775,-1.2946994279984698,-1.141761132450879
3.0,11,2.2922077302062847,2.139269434658694,-1.2287967180247046,-1.0570677028853817
3.0,12,2.226305020232519,2.054576005093197,-1.1613712337004893,-0.9701161797401707
3.0,13,2.158879535908304,1.9676244819479853,-1.0924229750258243,-0.8809065630152455
3.0,14,2.089931277233639,1.8784148652230606,-1.0219519420007093,-0.7894388527106069
3.0,15,2.0194602442085245,1.7869471549184215,-0.9499581346251448,-0.6957130488262542
3.0,16,1.9474664368329595,1.6932213510340692,-0.8764415528991305,-0.5997291513621879
3.0,17,1.8739498551069456,1.5972374535700027,-0.8014021968226664,-0.5014871603184078
3.0,18,1.7989104990304812,1.4989954625262225,-0.7248400663957524,-0.4009870756949138
3.0,19,1.7223483686035672,1.3984953779027287,-0.6467551616183886,-0.29822889749170606
3.0,20,1.6442634638262035,1.2957371996995208,-0.567147482490575,-0.19321262570878445
3.0,21,1.56465578469839,1.1907209279165993,-0.48601702901231175,-0.08593826034614915
3.0,22,1.4835253312201266,1.083446562553964,-0.40336380118359866,0.023594198596200044
3.0,23,1.4008721033914135,0.9739141036116148,-0.31918779900443556,0.1353847511182631
3.0,24,1.3166961012122504,0.8621235510895517,-0.23348902247482295,0.24943339722003988
3.0,25,1.2309973246826378,0.748074904987775,-0.14626747159476028,0.3657401369015304
3.0,26,1.1437757738025751,0.6317681653062844,-0.057523146364248046,0.48430497016273477
3.0,27,1.0550314485720629,0.5132033320450801,0.03274395321671397,0.6051278970036529
3.0,28,0.9647643489911009,0.39238040520416195,0.124533827148126,0.7282089174242848
3.0,29,0.8729744750596888,0.26929938478353,0.21784647542998758,0.8535480314246305
3.0,30,0.7796618267778272,0.1439602707831843,0.31268189806229896,0.9811452390046902
