tau,q,spread
8.333333333333332575e+02,-3.000000000000000000e+01,1.018107043598605932e+00
8.333333333333332575e+02,-2.900000000000000000e+01,1.018374089930471627e+00
8.333333333333332575e+02,-2.800000000000000000e+01,1.018642301509569803e+00
8.333333333333332575e+02,-2.700000000000000000e+01,1.018911259102196931e+00
8.333333333333332575e+02,-2.600000000000000000e+01,1.019180500657167920e+00
8.333333333333332575e+02,-2.500000000000000000e+01,1.019449519671613791e+00
8.333333333333332575e+02,-2.400000000000000000e+01,1.019717763869352645e+00
8.333333333333332575e+02,-2.300000000000000000e+01,1.019984634273178870e+00
8.333333333333332575e+02,-2.200000000000000000e+01,1.020249484759160108e+00
8.333333333333332575e+02,-2.100000000000000000e+01,1.020511622186510481e+00
8.333333333333332575e+02,-2.000000000000000000e+01,1.020770307199927895e+00
8.333333333333332575e+02,-1.900000000000000000e+01,1.021024755801909212e+00
8.333333333333332575e+02,-1.800000000000000000e+01,1.021274141789495937e+00
8.333333333333332575e+02,-1.700000000000000000e+01,1.021517600142783255e+00
8.333333333333332575e+02,-1.600000000000000000e+01,1.021754231440173966e+00
8.333333333333332575e+02,-1.500000000000000000e+01,1.021983107357532283e+00
8.333333333333332575e+02,-1.400000000000000000e+01,1.022203277284667200e+00
8.333333333333332575e+02,-1.300000000000000000e+01,1.022413776062500057e+00
8.333333333333332575e+02,-1.200000000000000000e+01,1.022613632808731188e+00
8.333333333333332575e+02,-1.100000000000000000e+01,1.022801880758917870e+00
8.333333333333332575e+02,-1.000000000000000000e+01,1.022977568005347671e+00
8.333333333333332575e+02,-9.000000000000000000e+00,1.023139768969550722e+00
8.333333333333332575e+02,-8.000000000000000000e+00,1.023287596397817190e+00
8.333333333333332575e+02,-7.000000000000000000e+00,1.023420213626061948e+00
8.333333333333332575e+02,-6.000000000000000000e+00,1.023536846822868496e+00
8.333333333333332575e+02,-5.000000000000000000e+00,1.023636796891591372e+00
8.333333333333332575e+02,-4.000000000000000000e+00,1.023719450695900424e+00
8.333333333333332575e+02,-3.000000000000000000e+00,1.023784291271377933e+00
8.333333333333332575e+02,-2.000000000000000000e+00,1.023830906699327414e+00
8.333333333333332575e+02,-1.000000000000000000e+00,1.023858997349324174e+00
8.333333333333332575e+02,0.000000000000000000e+00,1.023868381242743375e+00
8.333333333333332575e+02,1.000000000000000000e+00,1.023858997349323507e+00
8.333333333333332575e+02,2.000000000000000000e+00,1.023830906699328303e+00
8.333333333333332575e+02,3.000000000000000000e+00,1.023784291271378599e+00
8.333333333333332575e+02,4.000000000000000000e+00,1.023719450695899758e+00
8.333333333333332575e+02,5.000000000000000000e+00,1.023636796891589595e+00
8.333333333333332575e+02,6.000000000000000000e+00,1.023536846822870050e+00
8.333333333333332575e+02,7.000000000000000000e+00,1.023420213626060615e+00
8.333333333333332575e+02,8.000000000000000000e+00,1.023287596397819854e+00
8.333333333333332575e+02,9.000000000000000000e+00,1.023139768969548724e+00
8.333333333333332575e+02,1.000000000000000000e+01,1.022977568005349447e+00
8.333333333333332575e+02,1.100000000000000000e+01,1.022801880758916315e+00
8.333333333333332575e+02,1.200000000000000000e+01,1.022613632808731632e+00
8.333333333333332575e+02,1.300000000000000000e+01,1.022413776062499391e+00
8.333333333333332575e+02,1.400000000000000000e+01,1.022203277284667422e+00
8.333333333333332575e+02,1.500000000000000000e+01,1.021983107357531617e+00
8.333333333333332575e+02,1.600000000000000000e+01,1.021754231440174632e+00
8.333333333333332575e+02,1.700000000000000000e+01,1.021517600142784588e+00
8.333333333333332575e+02,1.800000000000000000e+01,1.021274141789494161e+00
8.333333333333332575e+02,1.900000000000000000e+01,1.021024755801910100e+00
8.333333333333332575e+02,2.000000000000000000e+01,1.020770307199927895e+00
8.333333333333332575e+02,2.100000000000000000e+01,1.020511622186510925e+00
8.333333333333332575e+02,2.200000000000000000e+01,1.020249484759160108e+00
8.333333333333332575e+02,2.300000000000000000e+01,1.019984634273178203e+00
8.333333333333332575e+02,2.400000000000000000e+01,1.019717763869350646e+00
8.333333333333332575e+02,2.500000000000000000e+01,1.019449519671614901e+00
8.333333333333332575e+02,2.600000000000000000e+01,1.019180500657169919e+00
8.333333333333332575e+02,2.700000000000000000e+01,1.018911259102194933e+00
8.333333333333332575e+02,2.800000000000000000e+01,1.018642301509570691e+00
8.333333333333332575e+02,2.900000000000000000e+01,1.018374089930470738e+00
8.333333333333332575e+02,3.000000000000000000e+01,1.018107043598607042e+00
1.000000000000000000e+03,-3.000000000000000000e+01,1.018107043598605932e+00
1.000000000000000000e+03,-2.900000000000000000e+01,1.018374089930471627e+00
1.000000000000000000e+03,-2.800000000000000000e+01,1.018642301509569803e+00
1.000000000000000000e+03,-2.700000000000000000e+01,1.018911259102196931e+00
1.000000000000000000e+03,-2.600000000000000000e+01,1.019180500657167920e+00
1.000000000000000000e+03,-2.500000000000000000e+01,1.019449519671613791e+00
1.000000000000000000e+03,-2.400000000000000000e+01,1.019717763869352645e+00
1.000000000000000000e+03,-2.300000000000000000e+01,1.019984634273178870e+00
1.000000000000000000e+03,-2.200000000000000000e+01,1.020249484759160108e+00
1.000000000000000000e+03,-2.100000000000000000e+01,1.020511622186510481e+00
1.000000000000000000e+03,-2.000000000000000000e+01,1.020770307199927895e+00
1.000000000000000000e+03,-1.900000000000000000e+01,1.021024755801909212e+00
1.000000000000000000e+03,-1.800000000000000000e+01,1.021274141789495937e+00
1.000000000000000000e+03,-1.700000000000000000e+01,1.021517600142783255e+00
1.000000000000000000e+03,-1.600000000000000000e+01,1.021754231440173966e+00
